stock_code,open,prev_close,open_change_pct,volume,amount,auction_power,bidVol1,askVol1
300304.SZ,14.46,14.45,0.06920415224914576,427425,642767600,5.20194459327879,0,0
002830.SZ,22.49,22.48,0.044483985765115704,34145,77744000,5.1708242110155735,0,0
301360.SZ,78.36,78.3,0.07662835249042436,13169,102500600,5.137757252265311,0,0
000930.SZ,6.83,6.82,0.14662756598240156,915585,650209700,5.1282988694032365,0,0
000657.SZ,65.0,64.37,0.9787167935373551,728781,4837155700,5.121927317859392,0,0
688651.SH,43.99,43.9,0.20501138952164788,16213,72844800,5.102354872523509,0,0
300069.SZ,19.23,19.19,0.20844189682125663,58430,114699200,5.097946140067825,0,0
002245.SZ,18.0,17.96,0.22271714922048524,561987,993850100,5.0880674515597315,0,0
688339.SH,35.13,35.13,0.0,102916,347929600,5.058585702286968,0,0
002085.SZ,16.17,16.13,0.2479851208927632,1039142,1730792300,5.041085716056651,0,0
301248.SZ,52.92,52.92,0.0,57834,298900900,5.028247593848117,0,0
002021.SZ,3.48,3.45,0.8695652173912987,588194,209123900,5.026867155965335,0,0
688597.SH,10.08,10.04,0.3984063745020013,164369,169454800,5.002378106111093,0,0
000720.SZ,4.02,4.0,0.49999999999998934,581152,251906900,4.987014206919518,0,0
000911.SZ,6.58,6.58,0.0,192560,130631100,4.959222568361184,0,0
002126.SZ,55.68,51.28,8.580343213728545,405432,2187175600,4.952999400998919,0,0
002729.SZ,18.17,18.16,0.05506607929516279,86016,157301700,4.933909492801472,0,0
301067.SZ,33.61,33.6,0.029761904761898838,30613,105566600,4.920856062301328,0,0
300931.SZ,12.58,12.55,0.2390438247011901,88315,114466300,4.919069283298708,0,0
300369.SZ,8.85,8.75,1.1428571428571388,397327,351502700,4.915231462671672,0,0
300279.SZ,10.13,10.13,0.0,234779,242181200,4.909664121616846,0,0
002923.SZ,15.46,15.16,1.9788918205804795,124309,195422400,4.8978149229034,0,0
300272.SZ,7.58,7.58,0.0,222895,172167500,4.890152639512471,0,0
001285.SZ,53.19,53.18,0.01880406167731856,19419,105391100,4.877517578348008,0,0
001367.SZ,22.22,22.17,0.22552999548938724,18855,42810400,4.853330589765405,0,0
688287.SH,4.31,4.31,0.0,191131,77380600,4.845608524672081,0,0
002524.SZ,4.59,4.57,0.4376367614879556,240316,113526000,4.84153445029856,0,0
688416.SH,90.01,90.0,0.011111111111116796,39807,360529100,4.825493154673252,0,0
002150.SZ,27.2,26.83,1.379053298546407,172211,469672700,4.815958871545145,0,0
600222.SH,7.15,7.14,0.14005602240897305,266403,194752900,4.746265704379596,0,0
003017.SZ,33.0,32.89,0.33444816053511534,32041,108363500,4.739266529491987,0,0
600301.SH,67.93,66.6,1.996996996997016,135336,881535500,4.713198123049256,0,0
603266.SH,19.67,19.58,0.4596527068437355,88508,184247700,4.709685035216955,0,0
301322.SZ,32.5,32.49,0.030778701138805816,42865,145202300,4.701538622139441,0,0
688309.SH,45.7,45.67,0.06568863586599767,35665,169958900,4.6838207700469425,0,0
600773.SH,16.01,15.75,1.6507936507936607,449143,713452300,4.683010933207939,0,0
600082.SH,3.69,3.68,0.27173913043477677,287394,109376000,4.672794841843722,0,0
000892.SZ,6.63,6.6,0.45454545454545836,330561,220014000,4.668389641228978,0,0
002488.SZ,12.33,12.33,0.0,404066,529043000,4.663375833587315,0,0
300254.SZ,12.55,12.53,0.1596169193934665,106085,131509400,4.638055680014428,0,0
002144.SZ,16.63,16.63,0.0,64665,105957700,4.628946033585582,0,0
002902.SZ,20.47,20.43,0.19579050416054403,81128,168106600,4.623225903347749,0,0
301592.SZ,124.28,124.28,0.0,10750,134157800,4.621374310126755,0,0
300952.SZ,38.72,38.71,0.02583311805734438,46748,186957100,4.607790942510763,0,0
300819.SZ,59.06,58.28,1.338366506520249,64042,362336900,4.5525095799066735,0,0
300712.SZ,30.88,30.87,0.03239390994492391,84412,262265100,4.548056307327395,0,0
001226.SZ,44.7,44.42,0.6303466906798765,14919,68681600,4.528884679524483,0,0
002357.SZ,16.26,16.09,1.0565568676196502,143639,230378600,4.519754259160118,0,0
