排名,股票代码,最新价,昨收价,涨跌幅(%),竞价量,竞价额,买盘,卖盘,时间
3168,300753.SZ,33.45,33.31,0.42,184,615500.00,76,25,09:26:17
3169,603880.SH,6.78,6.79,-0.15,184,124800.00,69,889,09:26:17
3170,603856.SH,13.77,13.78,-0.07,184,253400.00,229,64,09:26:16
3171,002609.SZ,10.66,10.66,0.00,184,196100.00,436,109,09:26:17
3172,002647.SZ,9.200000000000001,9.22,-0.22,184,169300.00,546,411,09:26:17
3173,301296.SZ,8.98,8.98,0.00,184,165200.00,182,315,09:26:17
3174,300958.SZ,14.2,14.2,0.00,183,259900.00,475,297,09:26:17
3175,600619.SH,18.46,18.5,-0.22,183,337800.00,63,460,09:26:17
3176,300787.SZ,13.05,13.08,-0.23,183,238800.00,301,244,09:26:17
3177,002140.SZ,11.82,11.85,-0.25,182,215100.00,347,57,09:26:17
3178,688179.SH,15.91,16.01,-0.62,182,289300.00,203,227,09:26:16
3179,301193.SZ,23.4,23.47,-0.30,182,425900.00,209,131,09:26:17
3180,600429.SH,5.36,5.37,-0.19,182,97600.00,655,1152,09:26:17
3181,002673.SZ,7.930000000000001,7.93,0.00,182,144300.00,2706,1829,09:26:17
3182,300435.SZ,29.67,29.74,-0.24,182,540000.00,194,404,09:26:17
3183,601107.SH,6.55,6.55,0.00,182,119200.00,227,307,09:26:17
3184,688627.SH,286.87,288.58,-0.59,181,5184000.00,137,16,09:26:17
3185,603033.SH,11.22,11.22,0.00,181,203100.00,42,188,09:26:16
3186,603131.SH,24.52,24.52,0.00,181,443800.00,53,135,09:26:16
3187,300683.SZ,34.34,34.48,-0.41,181,621600.00,42,1041,09:26:17
3188,002987.SZ,19.57,19.58,-0.05,181,354200.00,98,99,09:26:17
3189,605208.SH,13.2,13.21,-0.08,181,238900.00,82,241,09:26:16
3190,301377.SZ,180.16,180,0.09,181,3260900.00,23,44,09:26:17
3191,601022.SH,9.56,9.56,0.00,181,173000.00,475,433,09:26:17
3192,603028.SH,10.1,10.12,-0.20,180,181800.00,47,84,09:26:17
3193,000688.SZ,28.42,28.43,-0.04,180,511600.00,180,154,09:26:17
3194,688533.SH,31.95,32.13,-0.56,180,574300.00,75,38,09:26:17
3195,002110.SZ,4.37,4.37,0.00,180,78700.00,1104,1144,09:26:17
3196,603997.SH,14.68,14.44,1.66,180,264200.00,156,374,09:26:17
3197,601990.SH,7.930000000000001,7.92,0.13,179,141900.00,3271,5289,09:26:17
3198,600506.SH,24.81,24.81,0.00,179,444100.00,66,31,09:26:17
3199,688685.SH,46.56,46.76,-0.43,179,831100.00,54,502,09:26:17
3200,600251.SH,10.17,10.17,0.00,179,182000.00,147,102,09:26:17
3201,300751.SZ,308,308.11,-0.04,178,5482400.00,22,104,09:26:17
3202,600526.SH,5.71,5.71,0.00,178,101600.00,608,1333,09:26:17
3203,002778.SZ,22,21.88,0.55,178,391600.00,339,65,09:26:17
3204,301032.SZ,13.86,13.85,0.07,178,246700.00,162,45,09:26:17
