stock,fri_atr_ratio,fri_vol_ratio,fri_amt_ratio,fri_change,mon_atr_ratio,mon_vol_ratio,mon_amt_ratio,mon_change,has_fri_signal,is_mon_breakout,prepos_signal
300633.SZ,0.917,0.831,0.813,1.35,0.938,1.036,0.996,-2.25,False,False,False
300228.SZ,0.792,0.927,0.965,1.37,1.226,1.321,1.393,-0.63,False,False,False
300745.SZ,0.761,0.804,0.791,1.24,1.253,1.098,1.054,-4.52,False,False,False
002572.SZ,1.005,1.073,1.027,-1.42,1.259,1.217,1.134,-2.23,False,False,False
002169.SZ,1.013,1.242,1.437,-5.96,1.086,0.937,1.084,0.45,False,False,False
000411.SZ,0.482,0.418,0.402,0.0,1.181,0.996,0.93,-3.75,False,False,False
300731.SZ,1.18,1.046,1.129,2.81,2.056,1.858,2.286,15.02,False,True,False
002506.SZ,0.688,1.24,1.449,-0.4,1.025,1.033,1.15,-6.39,False,False,False
000096.SZ,0.623,0.625,0.608,1.67,2.323,3.64,3.793,10.04,False,True,False
301536.SZ,0.859,1.414,1.634,0.4,0.971,1.244,1.422,0.04,False,False,False
002181.SZ,0.341,0.307,0.279,-0.47,0.561,0.419,0.365,-4.04,False,False,False
001279.SZ,0.458,0.799,0.788,-0.46,1.593,1.334,1.292,-2.14,False,False,False
301159.SZ,0.617,0.444,0.427,3.07,0.842,0.568,0.534,-3.78,False,False,False
000948.SZ,0.809,0.836,0.838,1.05,1.715,1.68,1.635,-3.91,False,False,False
300948.SZ,1.116,1.269,1.283,5.16,1.196,1.026,1.015,-3.21,False,False,False
301662.SZ,0.57,0.689,0.715,-3.85,1.366,1.027,1.093,4.76,False,False,False
301279.SZ,0.622,0.565,0.532,0.48,1.379,1.079,0.988,-3.81,False,False,False
300096.SZ,0.515,0.46,0.46,2.24,0.66,0.805,0.789,-3.52,False,False,False
301616.SZ,0.536,0.794,0.798,0.02,1.561,0.978,0.965,-3.12,False,False,False
002626.SZ,0.908,0.881,0.887,-0.05,0.779,0.919,0.912,-1.23,False,False,False
