code,name,date,label,success,sustain_score,env_score,is_true_breakout,confidence,pnl_pct,max_drawdown,data_source,sustain_duration
300017,网宿科技,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300017,网宿科技,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300017,网宿科技,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
601933,永辉超市,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
601933,永辉超市,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
601933,永辉超市,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002195,岩山科技,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002195,岩山科技,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002195,岩山科技,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002536,飞龙股份,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002536,飞龙股份,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002536,飞龙股份,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600865,百大集团,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600865,百大集团,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600865,百大集团,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300182,捷成股份,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300182,捷成股份,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300182,捷成股份,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301123,奕东电子,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301123,奕东电子,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301123,奕东电子,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600783,鲁信创投,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600783,鲁信创投,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600783,鲁信创投,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002228,合兴包装,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002228,合兴包装,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002228,合兴包装,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002757,南兴股份,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002757,南兴股份,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002757,南兴股份,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002156,通富微电,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002156,通富微电,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
