code,name,price,change_pct,sector,limit_up_days,first_time,last_time,open_count,date,source,m,amount,ltsz,tshare,hs,lbc,fbt,lbt,fund,zbc,limit_up_count
2575,群兴玩具,8.06,9.959073066711426,文娱用品,1,95624.0,95624.0,0.0,20260205,akshare_em,,,,,,,,,,,
2357,富临运业,14.76,9.98509693145752,铁路公路,1,95721.0,95721.0,0.0,20260205,akshare_em,,,,,,,,,,,
600796,钱江生化,7.29,9.954751014709473,环境治理,1,95731.0,95731.0,0.0,20260205,akshare_em,,,,,,,,,,,
603429,集友股份,10.89,10.0,包装印刷,1,95957.0,142942.0,12.0,20260205,akshare_em,,,,,,,,,,,
2702,海欣食品,7.69,10.01430606842041,食品加工,1,100109.0,100109.0,0.0,20260205,akshare_em,,,,,,,,,,,
603696,安记食品,21.36,9.989701271057127,调味发酵,1,100154.0,100154.0,0.0,20260205,akshare_em,,,,,,,,,,,
301362,民爆光电,93.29,20.002573013305664,照明设备,4,100854.0,131503.0,9.0,20260205,akshare_em,,,,,,,,,,,
603334,丰倍生物,59.08,9.998138427734377,化学制品,2,101119.0,104601.0,2.0,20260205,akshare_em,,,,,,,,,,,
2985,北摩高科,46.97,10.0,航空装备,1,102406.0,110554.0,1.0,20260205,akshare_em,,,,,,,,,,,
2264,新 华 都,12.58,9.965035438537598,广告营销,1,103612.0,103612.0,0.0,20260205,akshare_em,,,,,,,,,,,
2467,二六三,7.34,10.044978141784668,通信服务,1,104215.0,104215.0,0.0,20260205,akshare_em,,,,,,,,,,,
2995,天地在线,36.62,10.00300407409668,广告营销,1,104251.0,104251.0,0.0,20260205,akshare_em,,,,,,,,,,,
2905,金逸影视,13.33,9.983498573303224,影视院线,1,110333.0,110333.0,0.0,20260205,akshare_em,,,,,,,,,,,
603655,朗博科技,44.41,10.007431030273438,汽车零部,1,112500.0,112500.0,0.0,20260205,akshare_em,,,,,,,,,,,
601187,厦门银行,7.93,9.986129760742188,银行Ⅱ,1,132503.0,132503.0,0.0,20260205,akshare_em,,,,,,,,,,,
2945,华林证券,20.75,10.02120876312256,证券Ⅱ,1,134233.0,134233.0,0.0,20260205,akshare_em,,,,,,,,,,,
2627,三峡旅游,10.01,10.0,铁路公路,1,135221.0,135221.0,0.0,20260205,akshare_em,,,,,,,,,,,
3036,泰坦股份,18.66,10.023585319519045,专用设备,1,135627.0,135627.0,0.0,20260205,akshare_em,,,,,,,,,,,
2361,神剑股份,13.85,10.007942199707031,塑料,1,140006.0,140006.0,0.0,20260205,akshare_em,,,,,,,,,,,
636,风华高科,22.79,9.990346908569336,元件,1,140712.0,140712.0,0.0,20260205,akshare_em,,,,,,,,,,,
300300,海峡创新,14.52,20.0,IT服务Ⅱ,1,142448.0,142448.0,0.0,20260205,akshare_em,,,,,,,,,,,
2969,嘉美包装,25.29,10.004349708557127,包装印刷,1,142730.0,142730.0,0.0,20260205,akshare_em,,,,,,,,,,,
600828,茂业商业,7.78,10.04243278503418,一般零售,1,142845.0,142845.0,0.0,20260205,akshare_em,,,,,,,,,,,
601116,三江购物,20.2,10.0217866897583,一般零售,1,143946.0,143946.0,0.0,20260205,akshare_em,,,,,,,,,,,
301362,民爆光电,77.74,20.006175994873047,照明设备,3,92500.0,92500.0,0.0,20260204,akshare_em,,,,,,,,,,,
2342,巨力索具,17.61,9.99375343322754,通用设备,2,92500.0,94954.0,2.0,20260204,akshare_em,,,,,,,,,,,
300912,凯龙高科,23.82,20.0,汽车零部,1,92500.0,92500.0,0.0,20260204,akshare_em,,,,,,,,,,,
603616,韩建河山,6.85,9.951845169067385,水泥,1,92501.0,92501.0,0.0,20260204,akshare_em,,,,,,,,,,,
600481,双良节能,11.11,10.0,光伏设备,2,92503.0,94254.0,4.0,20260204,akshare_em,,,,,,,,,,,
70,特发信息,13.52,10.008136749267578,通信设备,1,93000.0,93000.0,0.0,20260204,akshare_em,,,,,,,,,,,
603618,杭电股份,12.02,9.972553253173828,电网设备,4,93003.0,134024.0,2.0,20260204,akshare_em,,,,,,,,,,,
2126,银轮股份,43.21,10.005091667175291,汽车零部,2,93042.0,142115.0,20.0,20260204,akshare_em,,,,,,,,,,,
2970,锐明技术,67.28,10.006540298461914,计算机设,1,93115.0,93115.0,0.0,20260204,akshare_em,,,,,,,,,,,
533,顺钠股份,11.15,9.960552215576172,电网设备,3,93133.0,93654.0,3.0,20260204,akshare_em,,,,,,,,,,,
600330,天通股份,16.94,10.0,电子化学,2,93234.0,143543.0,7.0,20260204,akshare_em,,,,,,,,,,,
601096,宏盛华源,6.19,9.946714401245115,专业工程,1,93603.0,93957.0,1.0,20260204,akshare_em,,,,,,,,,,,
600188,兖矿能源,15.27,10.014410018920898,煤炭开采,1,93651.0,94548.0,2.0,20260204,akshare_em,,,,,,,,,,,
600072,中船科技,13.33,9.983498573303224,风电设备,1,94141.0,95244.0,2.0,20260204,akshare_em,,,,,,,,,,,
2300,太阳电缆,9.56,10.011507987976074,电网设备,1,94312.0,95136.0,2.0,20260204,akshare_em,,,,,,,,,,,
2830,名雕股份,30.95,9.985785484313965,装修装饰,4,94321.0,94421.0,1.0,20260204,akshare_em,,,,,,,,,,,
601015,陕西黑猫,4.62,10.0,焦炭Ⅱ,1,94528.0,94528.0,0.0,20260204,akshare_em,,,,,,,,,,,
600792,云煤能源,4.64,9.952607154846191,焦炭Ⅱ,1,94635.0,100023.0,1.0,20260204,akshare_em,,,,,,,,,,,
600860,京城股份,13.46,9.967320442199709,通用设备,1,95126.0,95126.0,0.0,20260204,akshare_em,,,,,,,,,,,
300423,昇辉科技,9.98,19.951923370361328,电网设备,1,95203.0,95203.0,0.0,20260204,akshare_em,,,,,,,,,,,
603334,丰倍生物,53.71,9.993856430053713,化学制品,1,95403.0,95403.0,0.0,20260204,akshare_em,,,,,,,,,,,
39,中集集团,11.41,10.028929710388184,通用设备,2,95642.0,133509.0,2.0,20260204,akshare_em,,,,,,,,,,,
601898,中煤能源,14.08,10.0,煤炭开采,1,95948.0,95948.0,0.0,20260204,akshare_em,,,,,,,,,,,
601226,华电科工,12.73,10.025928497314451,专业工程,1,100154.0,150000.0,5.0,20260204,akshare_em,,,,,,,,,,,
601001,晋控煤业,15.86,9.986129760742188,煤炭开采,1,100250.0,105423.0,1.0,20260204,akshare_em,,,,,,,,,,,
723,美锦能源,5.17,10.0,焦炭Ⅱ,1,100427.0,100427.0,0.0,20260204,akshare_em,,,,,,,,,,,
2278,神开股份,14.39,10.01529026031494,专用设备,1,100503.0,100503.0,0.0,20260204,akshare_em,,,,,,,,,,,
2441,众业达,10.97,10.03009033203125,电网设备,1,100518.0,100518.0,0.0,20260204,akshare_em,,,,,,,,,,,
300985,致远新能,25.1,19.98087882995605,通用设备,1,100539.0,100539.0,0.0,20260204,akshare_em,,,,,,,,,,,
600740,山西焦化,4.86,9.954751014709473,焦炭Ⅱ,1,100641.0,110835.0,7.0,20260204,akshare_em,,,,,,,,,,,
